post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,reminder,reminder,NOUN,reminder_NOUN
0,2010-11-04,:,reminder,PUNCT,reminder_PUNCT
0,2010-11-04,the,the,DET,the_DET
0,2010-11-04,miss universe,Miss,PROPN,Miss_PROPN
0,2010-11-04,competition,competition,NOUN,competition_NOUN
0,2010-11-04,will be,will,AUX,will_AUX
0,2010-11-04,live,live,ADJ,live_ADJ
0,2010-11-04,from,from,ADP,from_ADP
0,2010-11-04,the,the,DET,the_DET
0,2010-11-04,bahamas,Bahamas,PROPN,Bahamas_PROPN
0,2010-11-04,-,-,PUNCT,-_PUNCT
0,2010-11-04,tonight,tonight,NOUN,tonight_NOUN
0,2010-11-04,@,@,ADP,@_ADP
0,2010-11-04,9,9,NUM,9_NUM
0,2010-11-04,##pm,9,NOUN,9_NOUN
0,2010-11-04,(,(,PUNCT,(_PUNCT
0,2010-11-04,est,(,NOUN,(_NOUN
0,2010-11-04,),EST,PUNCT,EST_PUNCT
0,2010-11-04,on,on,ADP,on_ADP
0,2010-11-04,nbc,NBC,PROPN,NBC_PROPN
0,2010-11-04,:,NBC,PUNCT,NBC_PUNCT
0,2010-11-04,http,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,: / /,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,tinyurl,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,.,http://tinyurl.com/mrzad9,NOUN,http://tinyurl.com/mrzad9_NOUN
0,2010-11-04,com,http://tinyurl.com/mrzad9,PROPN,http://tinyurl.com/mrzad9_PROPN
0,2010-11-04,/,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,mrzad,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,##9,http://tinyurl.com/mrzad9,NOUN,http://tinyurl.com/mrzad9_NOUN
1,2013-08-15,@,@timc1021,SYM,@timc1021_SYM
1,2013-08-15,timc,@timc1021,NOUN,@timc1021_NOUN
1,2013-08-15,##1021,@timc1021,NUM,@timc1021_NUM
1,2013-08-15,thanks,thank,NOUN,thank_NOUN
1,2013-08-15,!,thank,PUNCT,thank_PUNCT
2,2013-06-12,""" ""","""",PUNCT,"""_PUNCT"
2,2013-06-12,@ _,"""",SYM,"""_SYM"
2,2013-06-12,katherinewebb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
2,2013-06-12,:,@_KatherineWebb,PUNCT,@_KatherineWebb_PUNCT
2,2013-06-12,looking,look,VERB,look_VERB
2,2013-06-12,forward,forward,ADV,forward_ADV
2,2013-06-12,to,to,ADP,to_ADP
2,2013-06-12,#,#,SYM,#_SYM
2,2013-06-12,missusa,#,PROPN,#_PROPN
2,2013-06-12,this,this,DET,this_DET
2,2013-06-12,weekend,weekend,NOUN,weekend_NOUN
2,2013-06-12,in,in,ADP,in_ADP
2,2013-06-12,vegas,Vegas,PROPN,Vegas_PROPN
2,2013-06-12,"! "" """,Vegas,PUNCT,Vegas_PUNCT
2,2013-06-12,great, ,ADJ, _ADJ
2,2013-06-12,to,to,PART,to_PART
2,2013-06-12,have,have,VERB,have_VERB
2,2013-06-12,our,our,PRON,our_PRON
