post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,Reminder,reminder,NN,reminder_NN
0,2010-11-04,:,:,:,:_:
0,2010-11-04,The,the,DT,the_DT
0,2010-11-04,Miss,miss,NNP,miss_NNP
0,2010-11-04,Universe,universe,NNP,universe_NNP
0,2010-11-04,competition,competition,NN,competition_NN
0,2010-11-04,will,will,MD,will_MD
0,2010-11-04,be,be,VB,be_VB
0,2010-11-04,LIVE,live,JJ,live_JJ
0,2010-11-04,from,from,IN,from_IN
0,2010-11-04,the,the,DT,the_DT
0,2010-11-04,Bahamas,bahamas,NNP,bahamas_NNP
0,2010-11-04,-,-,HYPH,-_HYPH
0,2010-11-04,Tonight,tonight,NNP,tonight_NNP
0,2010-11-04,@,@,CC,@_CC
0,2010-11-04,9pm,9pm,NN,9pm_NN
0,2010-11-04,(,(,:,(_:
0,2010-11-04,EST,est,NNP,est_NNP
0,2010-11-04,),),-RRB-,)_-RRB-
0,2010-11-04,on,on,IN,on_IN
0,2010-11-04,NBC,nbc,NNP,nbc_NNP
0,2010-11-04,:,:,:,:_:
0,2010-11-04,http,http,ADD,http_ADD
0,2010-11-04,://,://,NFP,://_NFP
0,2010-11-04,tinyurl.com,tinyurl.com,ADD,tinyurl.com_ADD
0,2010-11-04,/,/,SYM,/_SYM
0,2010-11-04,mrzad9,mrzad9,NNP,mrzad9_NNP
1,2013-08-15,@,@,NFP,@_NFP
1,2013-08-15,Timc1021,timc1021,CD,timc1021_CD
1,2013-08-15,Thanks,thanks,NNS,thanks_NNS
1,2013-08-15,!,!,.,!_.
2,2013-06-12,"""""@_","""""@_",NFP,"""""@__NFP"
2,2013-06-12,KatherineWebb,katherinewebb,NNP,katherinewebb_NNP
2,2013-06-12,:,:,:,:_:
2,2013-06-12,Looking,looking,VBG,looking_VBG
2,2013-06-12,forward,forward,RB,forward_RB
2,2013-06-12,to,to,IN,to_IN
2,2013-06-12,#,#,NNP,#_NNP
2,2013-06-12,MissUSA,missusa,NNP,missusa_NNP
2,2013-06-12,this,this,DT,this_DT
2,2013-06-12,weekend,weekend,NN,weekend_NN
2,2013-06-12,in,in,IN,in_IN
2,2013-06-12,Vegas,vegas,NNP,vegas_NNP
2,2013-06-12,"!""""","!""""",NFP,"!""""_NFP"
2,2013-06-12,Great,great,JJ,great_JJ
2,2013-06-12,to,to,TO,to_TO
2,2013-06-12,have,have,VB,have_VB
2,2013-06-12,our,our,PRP$,our_PRP$
2,2013-06-12,former.Miss,former.miss,NN,former.miss_NN
2,2013-06-12,Alabama,alabama,NNP,alabama_NNP
2,2013-06-12,!,!,.,!_.
3,2011-09-04,Addressing,addressing,VBG,addressing_VBG
3,2011-09-04,the,the,DT,the_DT
3,2011-09-04,Rise,rise,NNP,rise_NNP
3,2011-09-04,of,of,IN,of_IN
3,2011-09-04,Chronic,chronic,JJ,chronic_JJ
3,2011-09-04,Childhood,childhood,NNP,childhood_NNP
3,2011-09-04,Illnesses,illnesses,NNPS,illnesses_NNPS
3,2011-09-04,.,.,.,._.
3,2011-09-04,#,#,NFP,#_NFP
3,2011-09-04,AGENDA47,agenda47,NN,agenda47_NN
4,2020-05-11,RT,rt,NNP,rt_NNP
4,2020-05-11,@,@,CC,@_CC
4,2020-05-11,darhar981,darhar981,ADD,darhar981_ADD
4,2020-05-11,:,:,:,:_:
4,2020-05-11,Attorney,attorney,NNP,attorney_NNP
4,2020-05-11,General,general,NNP,general_NNP
4,2020-05-11,Barr,barr,NNP,barr_NNP
4,2020-05-11,’s,’s,VBZ,’s_VBZ
4,2020-05-11,Office,office,NN,office_NN
4,2020-05-11,Shreds,shreds,VBZ,shreds_VBZ
4,2020-05-11,NBC,nbc,NNP,nbc_NNP
4,2020-05-11,’s,’s,VBZ,’s_VBZ
4,2020-05-11,Chuck,chuck,NNP,chuck_NNP
4,2020-05-11,Todd,todd,NNP,todd_NNP
4,2020-05-11,For,for,IN,for_IN
4,2020-05-11,‘,‘,``,‘_``
4,2020-05-11,Deceptive,deceptive,JJ,deceptive_JJ
4,2020-05-11,Editing’,editing’,NN,editing’_NN
4,2020-05-11,Of,of,IN,of_IN
4,2020-05-11,Barr,barr,NNP,barr_NNP
4,2020-05-11,’s,’s,POS,’s_POS
4,2020-05-11,Comments,comments,NNS,comments_NNS
4,2020-05-11,On,on,IN,on_IN
4,2020-05-11,“,“,``,“_``
4,2020-05-11,Meet,meet,VB,meet_VB
4,2020-05-11,The,the,DT,the_DT
4,2020-05-11,Press,press,NN,press_NN
4,2020-05-11,",”",",”",NFP,",”_NFP"
4,2020-05-11,Todd,todd,NNP,todd_NNP
4,2020-05-11,…,…,.,…_.
5,2011-09-07,RT,rt,NNP,rt_NNP
5,2011-09-07,@,@,CC,@_CC
5,2011-09-07,MagaGlam,magaglam,NNP,magaglam_NNP
5,2011-09-07,🇺🇸♥,🇺🇸♥,NFP,🇺🇸♥_NFP
5,2011-09-07,Bring,bring,VB,bring_VB
5,2011-09-07,Back,back,RB,back_RB
5,2011-09-07,Trump,trump,NN,trump_NN
5,2011-09-07,💙🇺🇸,💙🇺🇸,NFP,💙🇺🇸_NFP
7,2025-03-19,The,the,DT,the_DT
7,2025-03-19,CBP,CBP,NNP,CBP_NNP
7,2025-03-19,Home,Home,NNP,Home_NNP
7,2025-03-19,App,App,NNP,App_NNP
7,2025-03-19,is,be,VBZ,be_VBZ
7,2025-03-19,now,now,RB,now_RB
7,2025-03-19,available,available,JJ,available_JJ
7,2025-03-19,across,across,IN,across_IN
7,2025-03-19,all,all,DT,all_DT
7,2025-03-19,mobile,mobile,JJ,mobile_JJ
7,2025-03-19,App,App,NNP,App_NNP
7,2025-03-19,Stores,store,NNPS,store_NNPS
7,2025-03-19,!,!,.,!_.
8,2019-01-23,Congratulations,congratulations,NNS,congratulations_NNS
8,2019-01-23,to,to,IN,to_IN
8,2019-01-23,Mariano,mariano,NNP,mariano_NNP
8,2019-01-23,Rivera,rivera,NNP,rivera_NNP
8,2019-01-23,on,on,IN,on_IN
8,2019-01-23,unanimously,unanimously,RB,unanimously_RB
8,2019-01-23,being,being,VBG,being_VBG
8,2019-01-23,elected,elected,VBN,elected_VBN
8,2019-01-23,to,to,IN,to_IN
8,2019-01-23,the,the,DT,the_DT
8,2019-01-23,National,national,NNP,national_NNP
8,2019-01-23,Baseball,baseball,NNP,baseball_NNP
8,2019-01-23,Hall,hall,NNP,hall_NNP
8,2019-01-23,of,of,IN,of_IN
8,2019-01-23,Fame,fame,NNP,fame_NNP
8,2019-01-23,!,!,",","!_,"
8,2019-01-23,Not,not,RB,not_RB
8,2019-01-23,only,only,RB,only_RB
8,2019-01-23,a,a,DT,a_DT
8,2019-01-23,great,great,JJ,great_JJ
8,2019-01-23,player,player,NN,player_NN
8,2019-01-23,but,but,CC,but_CC
8,2019-01-23,a,a,DT,a_DT
8,2019-01-23,great,great,JJ,great_JJ
8,2019-01-23,person,person,NN,person_NN
8,2019-01-23,.,.,.,._.
8,2019-01-23,I,i,PRP,i_PRP
8,2019-01-23,am,am,VBP,am_VBP
8,2019-01-23,thankful,thankful,JJ,thankful_JJ
8,2019-01-23,for,for,IN,for_IN
8,2019-01-23,Mariano,mariano,NNP,mariano_NNP
8,2019-01-23,’s,’s,POS,’s_POS
8,2019-01-23,support,support,NN,support_NN
8,2019-01-23,of,of,IN,of_IN
8,2019-01-23,the,the,DT,the_DT
8,2019-01-23,Opioid,opioid,NNP,opioid_NNP
8,2019-01-23,Drug,drug,NNP,drug_NNP
8,2019-01-23,Abuse,abuse,NNP,abuse_NNP
8,2019-01-23,Commission,commission,NNP,commission_NNP
8,2019-01-23,and,and,CC,and_CC
8,2019-01-23,@,@,CC,@_CC
8,2019-01-23,FitnessGov,fitnessgov,NNP,fitnessgov_NNP
8,2019-01-23,.,.,.,._.
8,2019-01-23,#,#,NFP,#_NFP
8,2019-01-23,EnterSandman,entersandman,NNP,entersandman_NNP
8,2019-01-23,#,#,NN,#_NN
8,2019-01-23,HOF2019,hof2019,NN,hof2019_NN
8,2019-01-23,💯,💯,NFP,💯_NFP
8,2019-01-23,https,https,NNS,https_NNS
8,2019-01-23,://,://,NFP,://_NFP
8,2019-01-23,t.co,t.co,ADD,t.co_ADD
8,2019-01-23,/,/,SYM,/_SYM
8,2019-01-23,reU1gKWHSQ,reu1gkwhsq,NNP,reu1gkwhsq_NNP
9,2015-07-01,My,my,PRP$,my_PRP$
9,2015-07-01,recent,recent,JJ,recent_JJ
9,2015-07-01,statement,statement,NN,statement_NN
9,2015-07-01,re,re,IN,re_IN
9,2015-07-01,:,:,:,:_:
9,2015-07-01,@,@,NFP,@_NFP
9,2015-07-01,macys,macys,NNS,macys_NNS
9,2015-07-01,--,--,:,--_:
9,2015-07-01,We,we,PRP,we_PRP
9,2015-07-01,must,must,MD,must_MD
9,2015-07-01,have,have,VB,have_VB
9,2015-07-01,strong,strong,JJ,strong_JJ
9,2015-07-01,borders,borders,NNS,borders_NNS
9,2015-07-01,&,&,CC,&_CC
9,2015-07-01,amp,amp,NN,amp_NN
9,2015-07-01,",",",",",",",_,"
9,2015-07-01,stop,stop,VB,stop_VB
9,2015-07-01,illegal,illegal,JJ,illegal_JJ
9,2015-07-01,immigration,immigration,NN,immigration_NN
9,2015-07-01,now,now,RB,now_RB
9,2015-07-01,!..,!..,:,!.._:
9,2015-07-01,.,.,.,._.
9,2015-07-01,https,https,NNS,https_NNS
9,2015-07-01,://,://,NFP,://_NFP
9,2015-07-01,t.co,t.co,ADD,t.co_ADD
9,2015-07-01,/,/,NFP,/_NFP
9,2015-07-01,HLCboRmTbl,hlcbormtbl,NNP,hlcbormtbl_NNP
10,2017-07-21,ICYMI,icymi,NNP,icymi_NNP
10,2017-07-21,-,-,:,-_:
10,2017-07-21,This,this,DT,this_DT
10,2017-07-21,week,week,NN,week_NN
