post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,Reminder,reminder,NN,reminder_NN
0,2010-11-04,:,reminder,:,reminder_:
0,2010-11-04,The,the,DT,the_DT
0,2010-11-04,Miss,Miss,NNP,Miss_NNP
0,2010-11-04,Universe,Universe,NNP,Universe_NNP
0,2010-11-04,competition,competition,NN,competition_NN
0,2010-11-04,will,will,MD,will_MD
0,2010-11-04,be,be,VB,be_VB
0,2010-11-04,LIVE,live,JJ,live_JJ
0,2010-11-04,from,from,IN,from_IN
0,2010-11-04,the,the,DT,the_DT
0,2010-11-04,Bahamas,Bahamas,NNP,Bahamas_NNP
0,2010-11-04,-,-,HYPH,-_HYPH
0,2010-11-04,Tonight,tonight,NNP,tonight_NNP
0,2010-11-04,@,@,CC,@_CC
0,2010-11-04,9pm,9,NN,9_NN
0,2010-11-04,(,(,:,(_:
0,2010-11-04,EST,(,NNP,(_NNP
0,2010-11-04,),EST,-RRB-,EST_-RRB-
0,2010-11-04,on,on,IN,on_IN
0,2010-11-04,NBC,NBC,NNP,NBC_NNP
0,2010-11-04,:,NBC,:,NBC_:
0,2010-11-04,http,http://tinyurl.com/mrzad9,ADD,http://tinyurl.com/mrzad9_ADD
0,2010-11-04,://,http://tinyurl.com/mrzad9,NFP,http://tinyurl.com/mrzad9_NFP
0,2010-11-04,tinyurl.com,http://tinyurl.com/mrzad9,ADD,http://tinyurl.com/mrzad9_ADD
0,2010-11-04,/,http://tinyurl.com/mrzad9,SYM,http://tinyurl.com/mrzad9_SYM
0,2010-11-04,mrzad9,http://tinyurl.com/mrzad9,NNP,http://tinyurl.com/mrzad9_NNP
1,2013-08-15,@,@timc1021,NFP,@timc1021_NFP
1,2013-08-15,Timc1021,@timc1021,CD,@timc1021_CD
1,2013-08-15,Thanks,thank,NNS,thank_NNS
1,2013-08-15,!,thank,.,thank_.
2,2013-06-12,"""""@_","""",NFP,"""_NFP"
2,2013-06-12,KatherineWebb,@_KatherineWebb,NNP,@_KatherineWebb_NNP
2,2013-06-12,:,@_KatherineWebb,:,@_KatherineWebb_:
2,2013-06-12,Looking,look,VBG,look_VBG
2,2013-06-12,forward,forward,RB,forward_RB
2,2013-06-12,to,to,IN,to_IN
2,2013-06-12,#,#,NNP,#_NNP
2,2013-06-12,MissUSA,#,NNP,#_NNP
2,2013-06-12,this,this,DT,this_DT
2,2013-06-12,weekend,weekend,NN,weekend_NN
2,2013-06-12,in,in,IN,in_IN
2,2013-06-12,Vegas,Vegas,NNP,Vegas_NNP
2,2013-06-12,"!""""",Vegas,NFP,Vegas_NFP
2,2013-06-12,Great, ,JJ, _JJ
2,2013-06-12,to,to,TO,to_TO
2,2013-06-12,have,have,VB,have_VB
2,2013-06-12,our,our,PRP$,our_PRP$
2,2013-06-12,former.Miss,former,NN,former_NN
2,2013-06-12,Alabama,Alabama,NNP,Alabama_NNP
2,2013-06-12,!,Alabama,.,Alabama_.
3,2011-09-04,Addressing,address,VBG,address_VBG
3,2011-09-04,the, ,DT, _DT
3,2011-09-04,Rise,rise,NNP,rise_NNP
3,2011-09-04,of,of,IN,of_IN
3,2011-09-04,Chronic,Chronic,JJ,Chronic_JJ
3,2011-09-04,Childhood,Childhood,NNP,Childhood_NNP
