post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,Reminder,reminder,INTJ,reminder_INTJ
0,2010-11-04,:,:,PUNCT,:_PUNCT
0,2010-11-04,The,the,PROPN,the_PROPN
0,2010-11-04,Miss,miss,PROPN,miss_PROPN
0,2010-11-04,Universe,universe,PROPN,universe_PROPN
0,2010-11-04,competition,competition,PROPN,competition_PROPN
0,2010-11-04,will,will,AUX,will_AUX
0,2010-11-04,be,be,VERB,be_VERB
0,2010-11-04,LIVE,live,VERB,live_VERB
0,2010-11-04,from,from,ADP,from_ADP
0,2010-11-04,the,the,SYM,the_SYM
0,2010-11-04,Bahamas,bahamas,NUM,bahamas_NUM
0,2010-11-04,-,-,PUNCT,-_PUNCT
0,2010-11-04,Tonight,tonight,VERB,tonight_VERB
0,2010-11-04,@,@,SYM,@_SYM
0,2010-11-04,9pm,9pm,NUM,9pm_NUM
0,2010-11-04,(,(,SYM,(_SYM
0,2010-11-04,EST,est,NUM,est_NUM
0,2010-11-04,),),X,)_X
0,2010-11-04,on,on,SYM,on_SYM
0,2010-11-04,NBC,nbc,NUM,nbc_NUM
0,2010-11-04,:,:,SYM,:_SYM
0,2010-11-04,http,http,X,http_X
0,2010-11-04,://,://,X,://_X
0,2010-11-04,tinyurl.com,tinyurl.com,X,tinyurl.com_X
0,2010-11-04,/,/,X,/_X
0,2010-11-04,mrzad9,mrzad9,PUNCT,mrzad9_PUNCT
1,2013-08-15,@,@,SYM,@_SYM
1,2013-08-15,Timc1021,timc1021,X,timc1021_X
1,2013-08-15,Thanks,thanks,VERB,thanks_VERB
1,2013-08-15,!,!,PRON,!_PRON
2,2013-06-12,"""""@_","""""@_",SYM,"""""@__SYM"
2,2013-06-12,KatherineWebb,katherinewebb,NUM,katherinewebb_NUM
2,2013-06-12,:,:,INTJ,:_INTJ
2,2013-06-12,Looking,looking,VERB,looking_VERB
2,2013-06-12,forward,forward,ADV,forward_ADV
2,2013-06-12,to,to,ADP,to_ADP
2,2013-06-12,#,#,SYM,#_SYM
2,2013-06-12,MissUSA,missusa,NUM,missusa_NUM
2,2013-06-12,this,this,SYM,this_SYM
2,2013-06-12,weekend,weekend,NUM,weekend_NUM
2,2013-06-12,in,in,INTJ,in_INTJ
