post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,Reminder,reminder,NOUN,reminder_NOUN
0,2010-11-04,:,:,PUNCT,:_PUNCT
0,2010-11-04,The,the,DET,the_DET
0,2010-11-04,Miss,Miss,PROPN,Miss_PROPN
0,2010-11-04,Universe,Universe,PROPN,Universe_PROPN
0,2010-11-04,competition,competition,NOUN,competition_NOUN
0,2010-11-04,will,will,AUX,will_AUX
0,2010-11-04,be,be,AUX,be_AUX
0,2010-11-04,LIVE,live,ADJ,live_ADJ
0,2010-11-04,from,from,ADP,from_ADP
0,2010-11-04,the,the,DET,the_DET
0,2010-11-04,Bahamas,Bahamas,PROPN,Bahamas_PROPN
0,2010-11-04,-,-,PUNCT,-_PUNCT
0,2010-11-04,Tonight,tonight,NOUN,tonight_NOUN
0,2010-11-04,@,@,ADP,@_ADP
0,2010-11-04,9,9,NUM,9_NUM
0,2010-11-04,pm,pm,NOUN,pm_NOUN
0,2010-11-04,(,(,PUNCT,(_PUNCT
0,2010-11-04,EST,EST,NOUN,EST_NOUN
0,2010-11-04,),),PUNCT,)_PUNCT
0,2010-11-04,on,on,ADP,on_ADP
0,2010-11-04,NBC,NBC,PROPN,NBC_PROPN
0,2010-11-04,:,:,PUNCT,:_PUNCT
0,2010-11-04,http,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,:,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,/,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,/,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,tiny,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,ur,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,l,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,.,http://tinyurl.com/mrzad9,NOUN,http://tinyurl.com/mrzad9_NOUN
0,2010-11-04,com,http://tinyurl.com/mrzad9,PROPN,http://tinyurl.com/mrzad9_PROPN
0,2010-11-04,/,http://tinyurl.com/mrzad9,PUNCT,http://tinyurl.com/mrzad9_PUNCT
0,2010-11-04,mr,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,za,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,d,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
0,2010-11-04,9,http://tinyurl.com/mrzad9,NOUN,http://tinyurl.com/mrzad9_NOUN
1,2013-08-15,@,@timc1021,SYM,@timc1021_SYM
1,2013-08-15,Tim,@timc1021,NOUN,@timc1021_NOUN
1,2013-08-15,c,@timc1021,NOUN,@timc1021_NOUN
1,2013-08-15,10,@timc1021,NUM,@timc1021_NUM
1,2013-08-15,21,@timc1021,NUM,@timc1021_NUM
1,2013-08-15,Thanks,thank,NOUN,thank_NOUN
1,2013-08-15,!,!,PUNCT,!_PUNCT
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,@,@_KatherineWebb,SYM,@_KatherineWebb_SYM
2,2013-06-12,_,@_KatherineWebb,SYM,@_KatherineWebb_SYM
2,2013-06-12,Katherine,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
2,2013-06-12,We,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
2,2013-06-12,bb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN
2,2013-06-12,:,:,PUNCT,:_PUNCT
2,2013-06-12,Looking,look,VERB,look_VERB
2,2013-06-12,forward,forward,ADV,forward_ADV
2,2013-06-12,to,to,ADP,to_ADP
2,2013-06-12,#,#,SYM,#_SYM
2,2013-06-12,Miss,missusa,PROPN,missusa_PROPN
2,2013-06-12,USA,missusa,PROPN,missusa_PROPN
2,2013-06-12,this,this,DET,this_DET
2,2013-06-12,weekend,weekend,NOUN,weekend_NOUN
2,2013-06-12,in,in,ADP,in_ADP
2,2013-06-12,Vegas,Vegas,PROPN,Vegas_PROPN
2,2013-06-12,!,!,PUNCT,!_PUNCT
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,Great,great,ADJ,great_ADJ
2,2013-06-12,to,to,PART,to_PART
2,2013-06-12,have,have,VERB,have_VERB
2,2013-06-12,our,our,PRON,our_PRON
2,2013-06-12,former,former,ADJ,former_ADJ
2,2013-06-12,.,.,PUNCT,._PUNCT
2,2013-06-12,Miss,Miss,PROPN,Miss_PROPN
2,2013-06-12,Alabama,Alabama,PROPN,Alabama_PROPN
2,2013-06-12,!,!,PUNCT,!_PUNCT
3,2011-09-04,Addressing,address,VERB,address_VERB
3,2011-09-04,the,the,DET,the_DET
3,2011-09-04,Rise,rise,NOUN,rise_NOUN
3,2011-09-04,of,of,ADP,of_ADP
3,2011-09-04,Chronic,Chronic,ADJ,Chronic_ADJ
3,2011-09-04,Childhood,Childhood,NOUN,Childhood_NOUN
3,2011-09-04,Illnesses,Illnesses,NOUN,Illnesses_NOUN
3,2011-09-04,.,.,PUNCT,._PUNCT
3,2011-09-04,#,#,SYM,#_SYM
3,2011-09-04,AGENDA,AGENDA47,NOUN,AGENDA47_NOUN
3,2011-09-04,47,AGENDA47,NUM,AGENDA47_NUM
4,2020-05-11,RT,RT,PROPN,RT_PROPN
4,2020-05-11,@,@darhar981,ADP,@darhar981_ADP
4,2020-05-11,dar,@darhar981,PROPN,@darhar981_PROPN
4,2020-05-11,har,@darhar981,PROPN,@darhar981_PROPN
4,2020-05-11,9,@darhar981,NUM,@darhar981_NUM
4,2020-05-11,8,@darhar981,NUM,@darhar981_NUM
4,2020-05-11,1,@darhar981,NUM,@darhar981_NUM
4,2020-05-11,:,:,PUNCT,:_PUNCT
4,2020-05-11,Attorney,Attorney,PROPN,Attorney_PROPN
4,2020-05-11,General,General,PROPN,General_PROPN
4,2020-05-11,Barr,Barr,PROPN,Barr_PROPN
4,2020-05-11,’,’s,PART,’s_PART
4,2020-05-11,s,’s,PART,’s_PART
4,2020-05-11,Office,office,NOUN,office_NOUN
4,2020-05-11,Sh,shred,VERB,shred_VERB
4,2020-05-11,red,shred,VERB,shred_VERB
4,2020-05-11,s,shred,VERB,shred_VERB
4,2020-05-11,NBC,NBC,PROPN,NBC_PROPN
4,2020-05-11,’,’s,PART,’s_PART
4,2020-05-11,s,’s,PART,’s_PART
4,2020-05-11,Chuck,Chuck,PROPN,Chuck_PROPN
4,2020-05-11,Todd,Todd,PROPN,Todd_PROPN
4,2020-05-11,For,for,ADP,for_ADP
4,2020-05-11,‘,',PUNCT,'_PUNCT
4,2020-05-11,Dec,Deceptive,ADJ,Deceptive_ADJ
4,2020-05-11,eptive,Deceptive,ADJ,Deceptive_ADJ
4,2020-05-11,Editing,editing,NOUN,editing_NOUN
4,2020-05-11,’,',PUNCT,'_PUNCT
4,2020-05-11,Of,of,ADP,of_ADP
4,2020-05-11,Barr,Barr,PROPN,Barr_PROPN
4,2020-05-11,’,’s,PART,’s_PART
4,2020-05-11,s,’s,PART,’s_PART
4,2020-05-11,Comments,comment,NOUN,comment_NOUN
4,2020-05-11,On,on,ADP,on_ADP
4,2020-05-11,“,"""",PUNCT,"""_PUNCT"
4,2020-05-11,Meet,Meet,VERB,Meet_VERB
4,2020-05-11,The,The,DET,The_DET
4,2020-05-11,Press,Press,PROPN,Press_PROPN
4,2020-05-11,",",",",PUNCT,",_PUNCT"
4,2020-05-11,”,"""",PUNCT,"""_PUNCT"
4,2020-05-11,Todd,todd,PROPN,todd_PROPN
4,2020-05-11,…,…,PUNCT,…_PUNCT
5,2011-09-07,RT,RT,PROPN,RT_PROPN
5,2011-09-07,@,@magaglam,SYM,@magaglam_SYM
5,2011-09-07,MagaGlam🇺🇸♥,magaglam🇺🇸♥,SYM,magaglam🇺🇸♥_SYM
5,2011-09-07,Bring,bring,VERB,bring_VERB
5,2011-09-07,Back,back,ADV,back_ADV
5,2011-09-07,Trump,Trump,PROPN,Trump_PROPN
5,2011-09-07,💙🇺🇸,💙🇺🇸,SYM,💙🇺🇸_SYM
7,2025-03-19,The,the,DET,the_DET
7,2025-03-19,CB,CBP,PROPN,CBP_PROPN
7,2025-03-19,P,CBP,PROPN,CBP_PROPN
7,2025-03-19,Home,Home,NOUN,Home_NOUN
7,2025-03-19,App,App,NOUN,App_NOUN
7,2025-03-19,is,be,AUX,be_AUX
7,2025-03-19,now,now,ADV,now_ADV
7,2025-03-19,available,available,ADJ,available_ADJ
7,2025-03-19,across,across,ADP,across_ADP
7,2025-03-19,all,all,DET,all_DET
7,2025-03-19,mobile,mobile,ADJ,mobile_ADJ
7,2025-03-19,App,App,NOUN,App_NOUN
7,2025-03-19,Stores,store,NOUN,store_NOUN
7,2025-03-19,!,!,PUNCT,!_PUNCT
8,2019-01-23,Congratulations,congratulation,NOUN,congratulation_NOUN
8,2019-01-23,to,to,ADP,to_ADP
8,2019-01-23,Mariano,Mariano,PROPN,Mariano_PROPN
8,2019-01-23,Rivera,Rivera,PROPN,Rivera_PROPN
8,2019-01-23,on,on,SCONJ,on_SCONJ
8,2019-01-23,unanimously,unanimously,ADV,unanimously_ADV
8,2019-01-23,being,be,AUX,be_AUX
8,2019-01-23,elected,elect,VERB,elect_VERB
8,2019-01-23,to,to,ADP,to_ADP
8,2019-01-23,the,the,DET,the_DET
8,2019-01-23,National,National,PROPN,National_PROPN
8,2019-01-23,Baseball,Baseball,PROPN,Baseball_PROPN
8,2019-01-23,Hall,Hall,PROPN,Hall_PROPN
8,2019-01-23,of,of,ADP,of_ADP
8,2019-01-23,Fame,Fame,PROPN,Fame_PROPN
8,2019-01-23,!,!,PUNCT,!_PUNCT
8,2019-01-23,Not,not,ADV,not_ADV
8,2019-01-23,only,only,ADV,only_ADV
8,2019-01-23,a,a,DET,a_DET
8,2019-01-23,great,great,ADJ,great_ADJ
8,2019-01-23,player,player,NOUN,player_NOUN
8,2019-01-23,but,but,CCONJ,but_CCONJ
8,2019-01-23,a,a,DET,a_DET
8,2019-01-23,great,great,ADJ,great_ADJ
8,2019-01-23,person,person,NOUN,person_NOUN
8,2019-01-23,.,.,PUNCT,._PUNCT
8,2019-01-23,I,I,PRON,I_PRON
8,2019-01-23,am,be,AUX,be_AUX
8,2019-01-23,thankful,thankful,ADJ,thankful_ADJ
8,2019-01-23,for,for,ADP,for_ADP
8,2019-01-23,Mariano,Mariano,PROPN,Mariano_PROPN
8,2019-01-23,’,’s,PART,’s_PART
8,2019-01-23,s,’s,PART,’s_PART
8,2019-01-23,support,support,NOUN,support_NOUN
8,2019-01-23,of,of,ADP,of_ADP
8,2019-01-23,the,the,DET,the_DET
8,2019-01-23,Op,Opioid,NOUN,Opioid_NOUN
8,2019-01-23,io,Opioid,X,Opioid_X
8,2019-01-23,id,Opioid,PROPN,Opioid_PROPN
8,2019-01-23,Drug,Drug,NOUN,Drug_NOUN
8,2019-01-23,Abuse,Abuse,NOUN,Abuse_NOUN
8,2019-01-23,Commission,Commission,PROPN,Commission_PROPN
8,2019-01-23,and,and,CCONJ,and_CCONJ
8,2019-01-23,@,@fitnessgov,X,@fitnessgov_X
8,2019-01-23,Fitness,@fitnessgov,X,@fitnessgov_X
8,2019-01-23,Go,@fitnessgov,X,@fitnessgov_X
8,2019-01-23,v,@fitnessgov,X,@fitnessgov_X
8,2019-01-23,.,.,NOUN,._NOUN
8,2019-01-23,#,#,SYM,#_SYM
8,2019-01-23,EnterS,EnterSandman,X,EnterSandman_X
8,2019-01-23,and,EnterSandman,X,EnterSandman_X
8,2019-01-23,man,EnterSandman,X,EnterSandman_X
8,2019-01-23,#,#,SYM,#_SYM
8,2019-01-23,HOF2019💯,hof2019💯,SYM,hof2019💯_SYM
8,2019-01-23,https,https://t.co/reU1gKWHSQ,X,https://t.co/reU1gKWHSQ_X
8,2019-01-23,:,https://t.co/reU1gKWHSQ,PUNCT,https://t.co/reU1gKWHSQ_PUNCT
8,2019-01-23,/,https://t.co/reU1gKWHSQ,PUNCT,https://t.co/reU1gKWHSQ_PUNCT
