post_id,word,lemma,pos,lemma_p,tag
1,Reminder,reminder,NOUN,reminder_NOUN,NN
1,:,:,PUNCT,:_PUNCT,:
1,The,the,DET,the_DET,DT
1,Miss,Miss,PROPN,Miss_PROPN,NNP
1,Universe,Universe,PROPN,Universe_PROPN,NNP
1,competition,competition,NOUN,competition_NOUN,NN
1,will,will,AUX,will_AUX,MD
1,be,be,AUX,be_AUX,VB
1,LIVE,live,VERB,live_VERB,VB
1,from,from,ADP,from_ADP,IN
1,the,the,DET,the_DET,DT
1,Bahamas,Bahamas,PROPN,Bahamas_PROPN,NNP
1,-,-,PUNCT,-_PUNCT,HYPH
1,Tonight,tonight,NOUN,tonight_NOUN,NN
1,@,@,ADP,@_ADP,IN
1,9,9,NUM,9_NUM,CD
1,pm,pm,NOUN,pm_NOUN,NN
1,(,(,PUNCT,(_PUNCT,-LRB-
1,EST,EST,PROPN,EST_PROPN,NNP
1,),),PUNCT,)_PUNCT,-RRB-
1,on,on,ADP,on_ADP,IN
1,NBC,NBC,PROPN,NBC_PROPN,NNP
1,:,:,PUNCT,:_PUNCT,:
1,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,PROPN,http://tinyurl.com/mrzad9_PROPN,NNP
2,@Timc1021,@timc1021,X,@timc1021_X,LS
2,Thanks,thank,NOUN,thank_NOUN,NNS
2,!,!,PUNCT,!_PUNCT,.
3,"""","""",PUNCT,"""_PUNCT",``
3,"""","""",PUNCT,"""_PUNCT",``
3,@_KatherineWebb,@_KatherineWebb,PROPN,@_KatherineWebb_PROPN,NNP
3,:,:,PUNCT,:_PUNCT,:
3,Looking,look,VERB,look_VERB,VBG
3,forward,forward,ADV,forward_ADV,RB
3,to,to,ADP,to_ADP,IN
3,#,#,SYM,#_SYM,$
3,MissUSA,missusa,NOUN,missusa_NOUN,NN
3,this,this,DET,this_DET,DT
3,weekend,weekend,NOUN,weekend_NOUN,NN
3,in,in,ADP,in_ADP,IN
3,Vegas,Vegas,PROPN,Vegas_PROPN,NNP
3,!,!,PUNCT,!_PUNCT,.
3,"""","""",PUNCT,"""_PUNCT",''
3,"""","""",PUNCT,"""_PUNCT",''
3, , ,SPACE, _SPACE,_SP
3,Great,great,ADJ,great_ADJ,JJ
3,to,to,PART,to_PART,TO
3,have,have,VERB,have_VERB,VB
3,our,our,PRON,our_PRON,PRP$
3,former,former,ADJ,former_ADJ,JJ
3,.,.,PUNCT,._PUNCT,.
3,Miss,Miss,PROPN,Miss_PROPN,NNP
3,Alabama,Alabama,PROPN,Alabama_PROPN,NNP
3,!,!,PUNCT,!_PUNCT,.
4,Addressing,address,VERB,address_VERB,VBG
4, , ,SPACE, _SPACE,_SP
4,the,the,DET,the_DET,DT
4,Rise,rise,NOUN,rise_NOUN,NN
4,of,of,ADP,of_ADP,IN
4,Chronic,Chronic,PROPN,Chronic_PROPN,NNP
4,Childhood,Childhood,PROPN,Childhood_PROPN,NNP
4,Illnesses,Illnesses,PROPN,Illnesses_PROPN,NNPS
4,.,.,PUNCT,._PUNCT,.
4,#,#,SYM,#_SYM,$
4,AGENDA47,AGENDA47,NOUN,AGENDA47_NOUN,NNS
5,RT,RT,PROPN,RT_PROPN,NNP
5,@darhar981,@darhar981,PROPN,@darhar981_PROPN,NNP
5,:,:,PUNCT,:_PUNCT,:
5,Attorney,Attorney,PROPN,Attorney_PROPN,NNP
5,General,General,PROPN,General_PROPN,NNP
5,Barr,Barr,PROPN,Barr_PROPN,NNP
5,’s,’s,PART,’s_PART,POS
5,Office,office,NOUN,office_NOUN,NN
5,Shreds,shred,VERB,shred_VERB,VBZ
