post_id,word,lemma,pos,lemma_p
1,Reminder:,reminder:,VERB,reminder:_VERB
1,The,the,DET,the_DET
1,Miss,Miss,PROPN,Miss_PROPN
1,Universe,Universe,PROPN,Universe_PROPN
1,competition,competition,NOUN,competition_NOUN
1,will,will,AUX,will_AUX
1,be,be,AUX,be_AUX
1,LIVE,live,VERB,live_VERB
1,from,from,ADP,from_ADP
1,the,the,DET,the_DET
1,Bahamas,Bahamas,PROPN,Bahamas_PROPN
1,-,-,PUNCT,-_PUNCT
1,Tonight,tonight,NOUN,tonight_NOUN
1,@,@,NUM,@_NUM
1,9pm,9pm,NOUN,9pm_NOUN
1,(EST),(est),X,(est)_X
1,on,on,ADP,on_ADP
1,NBC:,NBC:,PROPN,NBC:_PROPN
1,http://tinyurl.com,http://tinyurl.com,PROPN,http://tinyurl.com_PROPN
1,/,/,SYM,/_SYM
1,mrzad9,mrzad9,PROPN,mrzad9_PROPN
2,@Timc1021,@timc1021,X,@timc1021_X
2,Thanks!,thanks!,INTJ,thanks!_INTJ
3,"""""@_KatherineWebb:","""""@_KatherineWebb:",PUNCT,"""""@_KatherineWebb:_PUNCT"
3,Looking,look,VERB,look_VERB
3,forward,forward,ADV,forward_ADV
3,to,to,ADP,to_ADP
3,#MissUSA,#MissUSA,PROPN,#MissUSA_PROPN
3,this,this,DET,this_DET
3,weekend,weekend,NOUN,weekend_NOUN
3,in,in,ADP,in_ADP
3,"Vegas!""""","Vegas!""""",PROPN,"Vegas!""""_PROPN"
3, , ,SPACE, _SPACE
3,Great,great,ADJ,great_ADJ
3,to,to,PART,to_PART
3,have,have,VERB,have_VERB
3,our,our,PRON,our_PRON
3,former,former,ADJ,former_ADJ
3,.,.,PUNCT,._PUNCT
3,Miss,Miss,PROPN,Miss_PROPN
3,Alabama!,Alabama!,PROPN,Alabama!_PROPN
4,Addressing,address,VERB,address_VERB
4, , ,SPACE, _SPACE
4,the,the,DET,the_DET
4,Rise,rise,NOUN,rise_NOUN
4,of,of,ADP,of_ADP
4,Chronic,Chronic,PROPN,Chronic_PROPN
4,Childhood,Childhood,PROPN,Childhood_PROPN
4,Illnesses.,Illnesses.,PROPN,Illnesses._PROPN
4,#AGENDA47,#AGENDA47,NOUN,#AGENDA47_NOUN
5,RT,RT,PROPN,RT_PROPN
5,@darhar981:,@darhar981:,PROPN,@darhar981:_PROPN
5,Attorney,Attorney,PROPN,Attorney_PROPN
5,General,General,PROPN,General_PROPN
5,Barr’s,Barr’s,PROPN,Barr’s_PROPN
5,Office,Office,PROPN,Office_PROPN
5,Shreds,shred,VERB,shred_VERB
5,NBC’s,nbc’s,PRON,nbc’s_PRON
5,Chuck,Chuck,PROPN,Chuck_PROPN
5,Todd,Todd,PROPN,Todd_PROPN
5,For,for,ADP,for_ADP
5,‘Deceptive,‘deceptive,PRON,‘deceptive_PRON
5,Editing’,editing’,NOUN,editing’_NOUN
5,Of,of,ADP,of_ADP
5,Barr’s,Barr’s,PROPN,Barr’s_PROPN
5,Comments,comment,NOUN,comment_NOUN
5,"
","
",SPACE,"
_SPACE"
5,On,on,ADP,on_ADP
5,“Meet,“meet,NOUN,“meet_NOUN
5,The,the,DET,the_DET
5,"Press,”","Press,”",NOUN,"Press,”_NOUN"
5,Todd,Todd,PROPN,Todd_PROPN
5,…,…,PUNCT,…_PUNCT
6,RT,RT,PROPN,RT_PROPN
6, , ,SPACE, _SPACE
6,@MagaGlam,@magaglam,SYM,@magaglam_SYM
6,🇺,🇺,X,🇺_X
6,🇸,🇸,NOUN,🇸_NOUN
6,♥,♥,PROPN,♥_PROPN
6,️,️,X,️_X
6,Bring,bring,VERB,bring_VERB
6,Back,back,ADP,back_ADP
6, , ,SPACE, _SPACE
6,Trump,Trump,PROPN,Trump_PROPN
6, , ,SPACE, _SPACE
6,💙,💙,PROPN,💙_PROPN
6,🇺,🇺,NOUN,🇺_NOUN
6,🇸,🇸,X,🇸_X
8,The,the,DET,the_DET
8,CBP,CBP,PROPN,CBP_PROPN
8,Home,Home,PROPN,Home_PROPN
8,App,App,PROPN,App_PROPN
8,is,be,AUX,be_AUX
8,now,now,ADV,now_ADV
8,available,available,ADJ,available_ADJ
8,across,across,ADP,across_ADP
8,all,all,DET,all_DET
8,mobile,mobile,ADJ,mobile_ADJ
8,App,App,PROPN,App_PROPN
8,Stores!,stores!,NOUN,stores!_NOUN
9,Congratulations,congratulation,NOUN,congratulation_NOUN
9,to,to,ADP,to_ADP
9,Mariano,Mariano,PROPN,Mariano_PROPN
9,Rivera,Rivera,PROPN,Rivera_PROPN
9,on,on,ADP,on_ADP
9,unanimously,unanimously,ADV,unanimously_ADV
9,being,be,AUX,be_AUX
9,elected,elect,VERB,elect_VERB
9,to,to,ADP,to_ADP
9,the,the,DET,the_DET
9,National,National,PROPN,National_PROPN
9,Baseball,Baseball,PROPN,Baseball_PROPN
9,Hall,Hall,PROPN,Hall_PROPN
9,of,of,ADP,of_ADP
9,Fame!,Fame!,PROPN,Fame!_PROPN
9,Not,not,PART,not_PART
9,only,only,ADV,only_ADV
9,a,a,DET,a_DET
9,great,great,ADJ,great_ADJ
9,player,player,NOUN,player_NOUN
