post_id,date,word,lemma,pos,lemma_p
0,2010-11-04,Reminder,reminder,NOUN,reminder_NOUN
0,2010-11-04,:,:,PUNCT,:_PUNCT
0,2010-11-04,The,the,DET,the_DET
0,2010-11-04,Miss,Miss,PROPN,Miss_PROPN
0,2010-11-04,Universe,Universe,NOUN,Universe_NOUN
0,2010-11-04,competition,competition,NOUN,competition_NOUN
0,2010-11-04,will,will,PROPN,will_PROPN
0,2010-11-04,be,be,VERB,be_VERB
0,2010-11-04,LIVE,live,ADJ,live_ADJ
0,2010-11-04,from,from,ADP,from_ADP
0,2010-11-04,the,the,DET,the_DET
0,2010-11-04,Bahamas,Bahamas,PROPN,Bahamas_PROPN
0,2010-11-04,-,-,PUNCT,-_PUNCT
0,2010-11-04,Tonight,tonight,NOUN,tonight_NOUN
0,2010-11-04,@,@,SYM,@_SYM
0,2010-11-04,9,9,NUM,9_NUM
0,2010-11-04,pm,p.m.,PROPN,p.m._PROPN
0,2010-11-04,(,(,PUNCT,(_PUNCT
0,2010-11-04,EST,EST,PROPN,EST_PROPN
0,2010-11-04,),),PUNCT,)_PUNCT
0,2010-11-04,on,on,X,on_X
0,2010-11-04,NBC,NBC,PROPN,NBC_PROPN
0,2010-11-04,:,:,PUNCT,:_PUNCT
0,2010-11-04,http://tinyurl.com/mrzad9,http://tinyurl.com/mrzad9,X,http://tinyurl.com/mrzad9_X
1,2013-08-15,@,@,SYM,@_SYM
1,2013-08-15,Timc1021,timc1021,PROPN,timc1021_PROPN
1,2013-08-15,Thanks,thanks,NOUN,thanks_NOUN
1,2013-08-15,!,!,PUNCT,!_PUNCT
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,@_KatherineWebb,@_katherinewebb,X,@_katherinewebb_X
2,2013-06-12,:,:,PUNCT,:_PUNCT
2,2013-06-12,Looking,look,VERB,look_VERB
2,2013-06-12,forward,forward,ADV,forward_ADV
2,2013-06-12,to,to,SYM,to_SYM
2,2013-06-12,#,#,SYM,#_SYM
2,2013-06-12,MissUSA,missusa,PROPN,missusa_PROPN
2,2013-06-12,this,this,PRON,this_PRON
2,2013-06-12,weekend,weekend,NOUN,weekend_NOUN
2,2013-06-12,in,in,INTJ,in_INTJ
2,2013-06-12,Vegas,Vegas,PROPN,Vegas_PROPN
2,2013-06-12,!,!,PUNCT,!_PUNCT
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,"""","""",PUNCT,"""_PUNCT"
2,2013-06-12,Great,great,ADJ,great_ADJ
2,2013-06-12,to,to,SYM,to_SYM
2,2013-06-12,have,have,VERB,have_VERB
2,2013-06-12,our,our,PRON,our_PRON
2,2013-06-12,former,former,NOUN,former_NOUN
2,2013-06-12,.,.,PUNCT,._PUNCT
2,2013-06-12,Miss,Miss,PROPN,Miss_PROPN
2,2013-06-12,Alabama,Alabama,PROPN,Alabama_PROPN
2,2013-06-12,!,!,PUNCT,!_PUNCT
3,2011-09-04,Addressing,addressing,NOUN,addressing_NOUN
3,2011-09-04,the,the,DET,the_DET
3,2011-09-04,Rise,rise,PROPN,rise_PROPN
3,2011-09-04,of,of,ADV,of_ADV
3,2011-09-04,Chronic,chronic,PROPN,chronic_PROPN
3,2011-09-04,Childhood,childhood,NOUN,childhood_NOUN
3,2011-09-04,Illnesses,illnesses,NOUN,illnesses_NOUN
3,2011-09-04,.,.,PUNCT,._PUNCT
3,2011-09-04,#AGENDA47,#agenda47,X,#agenda47_X
4,2020-05-11,RT,rt,VERB,rt_VERB
4,2020-05-11,@darhar981,@darhar981,PROPN,@darhar981_PROPN
4,2020-05-11,:,:,PUNCT,:_PUNCT
4,2020-05-11,Attorney,Attorney,NOUN,Attorney_NOUN
4,2020-05-11,General,General,PROPN,General_PROPN
4,2020-05-11,Barr,barr,PROPN,barr_PROPN
4,2020-05-11,’s,'s,PRON,'s_PRON
4,2020-05-11,Office,Office,NOUN,Office_NOUN
4,2020-05-11,Shreds,shreds,NOUN,shreds_NOUN
4,2020-05-11,NBC,NBC,PROPN,NBC_PROPN
4,2020-05-11,’s,'s,PRON,'s_PRON
4,2020-05-11,Chuck,Chuck,PROPN,Chuck_PROPN
4,2020-05-11,Todd,Todd,PROPN,Todd_PROPN
4,2020-05-11,For,for,INTJ,for_INTJ
4,2020-05-11,‘,',PUNCT,'_PUNCT
4,2020-05-11,Deceptive,deceptive,ADJ,deceptive_ADJ
4,2020-05-11,Editing,editing,NOUN,editing_NOUN
4,2020-05-11,’,'s,PUNCT,'s_PUNCT
4,2020-05-11,Of,of,ADV,of_ADV
4,2020-05-11,Barr,barr,PROPN,barr_PROPN
4,2020-05-11,’s,'s,PRON,'s_PRON
4,2020-05-11,Comments,comment,NOUN,comment_NOUN
4,2020-05-11,On,on,ADJ,on_ADJ
4,2020-05-11,“,'',PUNCT,''_PUNCT
4,2020-05-11,Meet,meet,VERB,meet_VERB
4,2020-05-11,The,the,DET,the_DET
4,2020-05-11,Press,Press,NOUN,Press_NOUN
4,2020-05-11,",",",",PUNCT,",_PUNCT"
4,2020-05-11,”,'',PUNCT,''_PUNCT
4,2020-05-11,Todd,Todd,PROPN,Todd_PROPN
4,2020-05-11,…,…,SYM,…_SYM
5,2011-09-07,RT,rt,VERB,rt_VERB
5,2011-09-07,@,@,SYM,@_SYM
5,2011-09-07,MagaGlam🇺🇸♥️,magaglam🇺🇸♥️,PROPN,magaglam🇺🇸♥️_PROPN
5,2011-09-07,Bring,bring,VERB,bring_VERB
5,2011-09-07,Back,back,ADV,back_ADV
5,2011-09-07,Trump,Trump,PROPN,Trump_PROPN
5,2011-09-07,💙🇺🇸,💙🇺🇸,SYM,💙🇺🇸_SYM
6,2011-09-01,nan,nan,PROPN,nan_PROPN
7,2025-03-19,The,the,DET,the_DET
7,2025-03-19,CBP,cbp,PROPN,cbp_PROPN
7,2025-03-19,Home,Home,NOUN,Home_NOUN
7,2025-03-19,App,app,NOUN,app_NOUN
7,2025-03-19,is,be,VERB,be_VERB
7,2025-03-19,now,now,ADV,now_ADV
7,2025-03-19,available,available,ADJ,available_ADJ
7,2025-03-19,across,across,ADV,across_ADV
7,2025-03-19,all,all,DET,all_DET
7,2025-03-19,mobile,mobile,ADJ,mobile_ADJ
7,2025-03-19,App,app,NOUN,app_NOUN
7,2025-03-19,Stores,stores,NOUN,stores_NOUN
7,2025-03-19,!,!,PUNCT,!_PUNCT
8,2019-01-23,Congratulations,congratulation,NOUN,congratulation_NOUN
8,2019-01-23,to,to,SYM,to_SYM
8,2019-01-23,Mariano,mariano,PROPN,mariano_PROPN
8,2019-01-23,Rivera,rivera,PROPN,rivera_PROPN
8,2019-01-23,on,on,X,on_X
8,2019-01-23,unanimously,unanimously,ADV,unanimously_ADV
8,2019-01-23,being,be,NOUN,be_NOUN
8,2019-01-23,elected,elect,VERB,elect_VERB
8,2019-01-23,to,to,SYM,to_SYM
8,2019-01-23,the,the,DET,the_DET
8,2019-01-23,National,National,ADJ,National_ADJ
8,2019-01-23,Baseball,Baseball,NOUN,Baseball_NOUN
8,2019-01-23,Hall,Hall,PROPN,Hall_PROPN
8,2019-01-23,of,of,ADV,of_ADV
8,2019-01-23,Fame,Fame,NOUN,Fame_NOUN
8,2019-01-23,!,!,PUNCT,!_PUNCT
8,2019-01-23,Not,not,PART,not_PART
8,2019-01-23,only,only,ADV,only_ADV
8,2019-01-23,a,a,NOUN,a_NOUN
8,2019-01-23,great,great,ADJ,great_ADJ
8,2019-01-23,player,player,NOUN,player_NOUN
8,2019-01-23,but,but,CCONJ,but_CCONJ
8,2019-01-23,a,a,NOUN,a_NOUN
8,2019-01-23,great,great,ADJ,great_ADJ
8,2019-01-23,person,person,NOUN,person_NOUN
8,2019-01-23,.,.,PUNCT,._PUNCT
8,2019-01-23,I,I,PRON,I_PRON
8,2019-01-23,am,be,PROPN,be_PROPN
8,2019-01-23,thankful,thankful,ADJ,thankful_ADJ
8,2019-01-23,for,for,ADP,for_ADP
8,2019-01-23,Mariano,mariano,PROPN,mariano_PROPN
8,2019-01-23,’s,'s,PRON,'s_PRON
8,2019-01-23,support,support,NOUN,support_NOUN
8,2019-01-23,of,of,ADV,of_ADV
8,2019-01-23,the,the,DET,the_DET
8,2019-01-23,Opioid,opioid,NOUN,opioid_NOUN
8,2019-01-23,Drug,drug,NOUN,drug_NOUN
8,2019-01-23,Abuse,abuse,NOUN,abuse_NOUN
8,2019-01-23,Commission,Commission,NOUN,Commission_NOUN
8,2019-01-23,and,and,CCONJ,and_CCONJ
8,2019-01-23,@FitnessGov.,@fitnessgov.,X,@fitnessgov._X
8,2019-01-23,#,#,SYM,#_SYM
8,2019-01-23,EnterSandman,entersandman,PROPN,entersandman_PROPN
8,2019-01-23,#HOF,#hof,X,#hof_X
8,2019-01-23,2019,2019,NUM,2019_NUM
8,2019-01-23,💯,💯,SYM,💯_SYM
8,2019-01-23,https://t.co/reU1gKWHSQ,https://t.co/reU1gKWHSQ,X,https://t.co/reU1gKWHSQ_X
9,2015-07-01,My,my,PRON,my_PRON
9,2015-07-01,recent,recent,ADJ,recent_ADJ
9,2015-07-01,statement,statement,NOUN,statement_NOUN
9,2015-07-01,re,re,X,re_X
9,2015-07-01,:,:,PUNCT,:_PUNCT
9,2015-07-01,@macys,@macys,PROPN,@macys_PROPN
9,2015-07-01,--,--,PUNCT,--_PUNCT
9,2015-07-01,We,we,PRON,we_PRON
9,2015-07-01,must,must,AUX,must_AUX
9,2015-07-01,have,have,VERB,have_VERB
9,2015-07-01,strong,strong,ADJ,strong_ADJ
9,2015-07-01,borders,border,NOUN,border_NOUN
9,2015-07-01,&amp,&amp,PROPN,&amp_PROPN
9,2015-07-01,",",",",PUNCT,",_PUNCT"
9,2015-07-01,stop,stop,VERB,stop_VERB
9,2015-07-01,illegal,illegal,ADJ,illegal_ADJ
9,2015-07-01,immigration,immigration,NOUN,immigration_NOUN
9,2015-07-01,now,now,ADV,now_ADV
9,2015-07-01,!...,!...,PUNCT,!..._PUNCT
9,2015-07-01,https://t.co/HLCboRmTbl,https://t.co/HLCboRmTbl,X,https://t.co/HLCboRmTbl_X
10,2017-07-21,ICYMI,icymi,ADV,icymi_ADV
10,2017-07-21,-,-,PUNCT,-_PUNCT
10,2017-07-21,This,this,PRON,this_PRON
10,2017-07-21,week,week,NOUN,week_NOUN
10,2017-07-21,we,we,PRON,we_PRON
10,2017-07-21,hosted,host,NOUN,host_NOUN
10,2017-07-21,a,a,NOUN,a_NOUN
10,2017-07-21,#,#,SYM,#_SYM
10,2017-07-21,MadeInAmerica,madeinamerica,PROPN,madeinamerica_PROPN
10,2017-07-21,event,event,NOUN,event_NOUN
10,2017-07-21,",",",",PUNCT,",_PUNCT"
10,2017-07-21,right,right,INTJ,right_INTJ
10,2017-07-21,here,here,ADV,here_ADV
10,2017-07-21,at,at,X,at_X
10,2017-07-21,the,the,DET,the_DET
10,2017-07-21,@WhiteHouse,@whitehouse,PROPN,@whitehouse_PROPN
10,2017-07-21,!,!,PUNCT,!_PUNCT
10,2017-07-21,If,if,SCONJ,if_SCONJ
10,2017-07-21,it,it,PRON,it_PRON
10,2017-07-21,is,be,VERB,be_VERB
10,2017-07-21,MADE,made,PROPN,made_PROPN
10,2017-07-21,IN,in,PROPN,in_PROPN
10,2017-07-21,AMERICA,america,PROPN,america_PROPN
10,2017-07-21,",",",",PUNCT,",_PUNCT"
10,2017-07-21,it,it,PRON,it_PRON
10,2017-07-21,is,be,VERB,be_VERB
10,2017-07-21,the,the,DET,the_DET
10,2017-07-21,BEST,good,ADJ,good_ADJ
10,2017-07-21,!,!,PUNCT,!_PUNCT
10,2017-07-21,USA,USA,PROPN,USA_PROPN
10,2017-07-21,🇺,🇺,SYM,🇺_SYM
10,2017-07-21,🇸,🇸,SYM,🇸_SYM
10,2017-07-21,https://t.co/q4vB9GdE5y,https://t.co/q4vB9GdE5y,X,https://t.co/q4vB9GdE5y_X
